RecordNo,caseid,age,gender,region_grouped_IT,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5a,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,S3,S4,S5_1,S5_2,S5_3,S5_6,S5_8,S5_22,S5_9,S5_10,S5_11,S5_23,S5_12,S5_13,S5_14,S5_17,S5_18,S5_19,S5_20,S5_29,S5_30,S5_31,S5_33,S5_26,S5_99,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,segment,age_yks,S3_yks,S4_yks,Q3_yks,Q4_yks,weight
RecordNo,What was your Panman sample ID?,VISIBLE IN TESTING MODE age,Are you..?,Which region of Italy?,"How interested are you in basketball today, independent of AC Milan?",I follow the National Basketball Association (NBA),I follow EuroLeague,I follow Lega Basket Serie A.,"I follow other European club competitions (e.g., EuroCup, Liga ACB)",I follow another professional league not listed here,None of the above,A Milan-based NBA Europe team with no connection to any football club,An NBA Europe team officially affiliated with AC Milan,Why would you be less likely to follow a team officially affiliated with AC Milan than a Milan-based team with no connection to any club?,"Compared with today, how would an AC Milan–affiliated NBA Europe team affect your overall interest in basketball?",Which best describes why your interest would increase?,Watch games via free TV or streaming,Watch games via paid TV or streaming service,Follow highlights and social media,Attend a game in person,Buy merchandise,I would not engage,"Of the options you selected above, which would be your primary way of engaging?",Which of the following best describes why you would support a Milan NBA team?,"AC Milan colors, crest, and identity",A premium behind-the-scenes series following players/coaches through the season,"Player-led short-form content (mic'd up, day-in-the-life, training)","Crossovers with AC Milan football first-team players (visits, training sessions, shared content)","Local Milan culture collaborations (fashion, music, design)","More access to players (meet-and-greets, Q&As, fan events, exclusive content)","AC Milan legends and/or notable personalities involved (appearances, hosting, content)",A weekly highlights + storylines show/podcast to help me follow the team and league,"A great live game experience (iconic venue, atmosphere, entertainment)","Benefits for AC Milan members (priority tickets, discounts, bundles)",Fan festivals and watch parties across Milan,Limited-edition co-branded merchandise drops,Youth clinics and community programs in Milan,None of the above,"Gross HOUSEHOLD income is the combined income of all earners in a household from all sources, including wages, salaries, or rents and before tax deductions. What is your gross household income?",In which province do you live?,Atalanta,Bologna,Cagliari,Fiorentina,Genoa,Hellas Verona,Inter Milan,Juventus,Lazio,Lecce,AC Milan,Napoli,AS Roma,Sassuolo,Torino,Udinese,Parma,Venezia,Cremonese,Monza,Como,Pisa,Not applicable - I do not support a Serie A (football) team,Which of the following best describes your relationship with AC Milan?,I watch most $INSQ21 matches live on TV or streaming,I plan my schedule around $INSQ22 matches,I occasionally watch $INSQ22 matches on TV or streaming,"I follow $INSQ22 news, transfers, and rumors closely",I follow $INSQ25 on social media or digital channels,I have purchased $INSQ22 merchandise in the last 12 months,I have attended $INSQ27,I am a season ticket holder,$INSQ29 is part of my identity / something I grew up with,I discuss $INSQ210 regularly with friends/family,I consider myself a casual supporter (watch occasionally),None of the above,Segment,age,Income,Milan Resident,Basketball Interest,Basketball League Watcher,weight
0,7398673880,55,Male,North west,Basketball is one of my top sports,Yes,No,No,No,No,No,Very likely,Very unlikely,I prefer a team that represents Milan as a city rather than one football club,Decrease my interest, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,35.000€ to 39.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Other Serie A Fan,55+,"25-49,999€",Milan,Overall Interested,Watcher,1.004081633
1,7395241098,60,Male,North west,"I follow basketball regularly, but it's secondary",No,Yes,Yes,Yes,No,No,Neither likely nor unlikely,Somewhat unlikely,I don't like football branding in basketball,Slightly increase my interest, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Prefer not to answer,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,AC Milan Fan,55+, ,Milan,Overall Interested,Watcher,1.056101695
2,7397125866,29,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because I trust and follow AC Milan,Yes,No,Yes,No,No,No,Follow highlights and social media,Because it is affiliated with AC Milan,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,60.000€ to 69.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,AC Milan Fan,18-34,"50,000€ +",Milan,Unaware, ,0.920240964
3,7395745670,64,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,100.000€ to 149.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,AC Milan Fan,55+,"50,000€ +",Milan,Unaware, ,0.920240964
4,7397095898,42,Female,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,No,No,No,No,Yes,No,Buy merchandise,Because it is affiliated with AC Milan,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,No,No,Yes,No,Yes,No,No,No,No,No,No,No,AC Milan Fan,35-54,"25-49,999€",Milan,Unaware, ,0.920240964
5,7396968878,58,Female,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat likely,Neither likely nor unlikely,I prefer a team that represents Milan as a city rather than one football club,No change, ,No,No,Yes,No,No,No,Follow highlights and social media,"Because it represents Milan, regardless of club",No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,45.000€ to 49.999€ per year,Milano,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,No,No,No,No,No,No,No,No,No,Inter Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,0.966666667
6,7398672652,33,Male,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Neither likely nor unlikely,Very unlikely,I prefer a team that represents Milan as a city rather than one football club,Moderately increase my interest,Because it gives me a reason to care about basketball,No,No,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,No,No,Inter Milan Fan,18-34,"25-49,999€",Milan,Overall Interested,Watcher,1.023529412
7,7396632068,49,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"25-49,999€",Milan,Unaware, ,1.011180124
8,7398717678,61,Male,North west,I watch basketball occasionally,No,Yes,Yes,No,No,No,Somewhat likely,Neither likely nor unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,Yes,Yes,No,No,Follow highlights and social media,"Because it represents Milan, regardless of club",No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Inter Milan Fan,55+,"25-49,999€",Milan,Overall Interested,Watcher,1.023529412
